ชื่อเมนู,ราคาขายหน้าร้าน (บาท),รายการวัตถุดิบ/บรรจุภัณฑ์,ราคาซื้อ (บาท),ปริมาณสุทธิ/แพ็ค,หน่วยแพ็ค,ปริมาณที่ใช้,หน่วยที่ใช้
เอสเพรสโซ่เย็น (Iced Thai Espresso 16oz),65,เมล็ดกาแฟคั่วเข้ม (Dark Roast Beans),400,500,g,20,g
เอสเพรสโซ่เย็น (Iced Thai Espresso 16oz),65,นมผสม (Sweetened Condensed Milk Mix),65,500,ml,30,ml
เอสเพรสโซ่เย็น (Iced Thai Espresso 16oz),65,นมสดพาสเจอร์ไรส์,95,2000,ml,60,ml
เอสเพรสโซ่เย็น (Iced Thai Espresso 16oz),65,น้ำแข็ง,60,15000,g,200,g
เอสเพรสโซ่เย็น (Iced Thai Espresso 16oz),65,แก้วพลาสติก 16oz + ฝา,220,100,ชิ้น,1,ชิ้น
เอสเพรสโซ่เย็น (Iced Thai Espresso 16oz),65,หลอด + ปลอกแก้ว,90,100,ชุด,1,ชุด
คาปูชิโน่ร้อน (Hot Cappuccino 8oz),55,เมล็ดกาแฟคั่วกลาง (Medium Roast Beans),450,500,g,18,g
คาปูชิโน่ร้อน (Hot Cappuccino 8oz),55,นมสดพาสเจอร์ไรส์,95,2000,ml,150,ml
คาปูชิโน่ร้อน (Hot Cappuccino 8oz),55,ผงโกโก้โรยหน้า,180,500,g,1,g
คาปูชิโน่ร้อน (Hot Cappuccino 8oz),55,แก้วกระดาษร้อน 8oz + ฝา,280,100,ชิ้น,1,ชิ้น
ชานมไต้หวันไข่มุก (Taiwan Milk Tea 16oz),60,ใบชาไต้หวัน,220,500,g,15,g
ชานมไต้หวันไข่มุก (Taiwan Milk Tea 16oz),60,ครีมเทียมคุณภาพดี,110,1000,g,20,g
ชานมไต้หวันไข่มุก (Taiwan Milk Tea 16oz),60,น้ำเชื่อมแท้,120,750,ml,20,ml
ชานมไต้หวันไข่มุก (Taiwan Milk Tea 16oz),60,เม็ดไข่มุกบราวน์ซูการ์,85,1000,g,50,g
ชานมไต้หวันไข่มุก (Taiwan Milk Tea 16oz),60,น้ำแข็ง,60,15000,g,200,g
ชานมไต้หวันไข่มุก (Taiwan Milk Tea 16oz),60,แก้วซีล 16oz + ฟิล์มซีล,180,100,ชุด,1,ชุด
สตรอว์เบอร์รี่สมูทตี้ (Strawberry Smoothie 16oz),75,สตรอว์เบอร์รี่แช่แข็ง,210,1000,g,100,g
สตรอว์เบอร์รี่สมูทตี้ (Strawberry Smoothie 16oz),75,โยเกิร์ตรสธรรมชาติ,145,1000,g,50,g
สตรอว์เบอร์รี่สมูทตี้ (Strawberry Smoothie 16oz),75,ไซรัปสตรอว์เบอร์รี่,250,750,ml,20,ml
สตรอว์เบอร์รี่สมูทตี้ (Strawberry Smoothie 16oz),75,น้ำแข็ง,60,15000,g,250,g
สตรอว์เบอร์รี่สมูทตี้ (Strawberry Smoothie 16oz),75,แก้วทรงแคปซูล 16oz + ฝาโดม,260,100,ชิ้น,1,ชิ้น
